gid,nazwa,ostatnia_erupcja,kraj,typ,rodzaj_erupcji,materiał,tektonika,legenda,źródło
"602",Karkar,"2014",Papua - Nowa Gwinea,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"606",Ritter Island,"2007",Papua - Nowa Gwinea,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"614",Krummel-Garbuna-Welcker,"2008",Papua - Nowa Gwinea,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"618",Hargy,"950",Papua - Nowa Gwinea,stratowulkan,erupcja datowana,dacyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"634",Tengger Caldera,"2016",Indonezja,stratowulkan,erupcja zaobserwowana,trachyandezyt / bazaltowy trachyandezyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"637",Raung,"2015",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"638",Ijen,"1999",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"642",Agung,"2018",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"643",Rinjani,"2016",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"644",Tambora,"1967",Indonezja,stratowulkan,erupcja zaobserwowana,tefryt / trachybazalt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"648",Inierie,8050 p.n.e.,Indonezja,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"650",Ebulobo,"1969",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"654",Paluweh,"2013",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"655",Egon,"2008",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"657",Lewotobi,"2003",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"659",Iliboleng,"1993",Indonezja,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"660",Lewotolo,"2012",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"772",Ichinsky,"1740",Rosja,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"633",Semeru,"2021",Indonezja,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"620",Ulawun,"2022",Papua - Nowa Gwinea,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
